stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN8720;Atnsjøen;10.13980;61.89020;;;;86.6;96.0;90.2
SN87640;Harstad;16.53620;68.80290;12.1;12.4;-0.3;55.4;58.0;95.5
SN87772;Sætertinden;16.36080;68.58630;4.4;5.6;-1.2;;;
SN88100;Bardu;18.24420;68.64570;11.1;11.8;-0.7;51.0;85.0;60.0
SN88200;Laukhella;17.90130;69.23480;;;;84.1;80.0;105.1
SN88690;Hekkingen fyr;17.83117;69.60050;11.6;11.7;-0.1;;;
SN8880;Alvdal ;10.62680;62.10930;12.0;12.0;0.0;58.7;;
SN89010;Kistefjell;18.12880;69.28970;6.0;6.3;-0.3;;;
SN89350;Bardufoss;18.54370;69.05770;12.0;12.3;-0.3;50.1;65.0;77.1
SN89940;Dividalen;19.70167;68.78167;10.8;11.2;-0.4;63.1;71.0;88.9
SN89980;Tamokdalen;19.62780;69.09350;10.7;11.2;-0.5;112.6;94.0;119.8
SN89985;Sjufjellet;19.54420;69.10250;5.9;6.2;-0.3;;;
SN90100;Pålfinnmoen;18.67730;69.41400;11.5;11.9;-0.4;77.6;111.0;69.9
SN90110;Skolten ;18.62080;69.42290;7.5;8.0;-0.5;;;
SN90400;Tromsø (Holt);18.90950;69.65380;11.3;11.3;0.0;84.1;80.0;105.1
SN90450;Tromsø (Vervarslinga);18.93680;69.65370;11.2;11.3;-0.1;87.1;88.0;99.0
SN90451;Tromsø PLU;18.93650;69.65370;;;;84.6;72.0;117.5
SN90490;Tromsø LH;18.91330;69.67670;11.3;11.3;0.0;;;
SN90495;Stakkevollan ;18.98200;69.69420;11.1;11.2;-0.1;85.0;85.0;100.0
SN90510;Tromsdalen ;19.00650;69.65080;10.8;10.8;0.0;82.4;82.0;100.5
SN90560;Kvaløysletta ;18.87720;69.69880;11.1;11.3;-0.2;81.1;79.0;102.7
SN90650;Grunnfjord;19.57300;70.00830;;;;63.7;68.0;93.7
SN90720;Måsvik;18.69380;69.99030;11.6;11.7;-0.1;;;
SN90760;Fakken;20.11451;70.10426;10.9;10.5;0.4;;;
SN90800;Torsvåg fyr;19.49970;70.24520;11.2;11.2;0.0;;;
SN91080;Ytre Holmebukt;19.71300;69.50000;;;;83.8;76.0;110.3
SN91120;Lyngen;20.15180;69.55980;8.5;8.9;-0.4;;;
SN91130;Lyngen;20.09400;69.55880;8.4;8.8;-0.4;;;
SN91150;Lyngen - Ura;20.09307;69.58870;11.8;;;70.1;75.0;93.5
SN91180;Straumen ;20.13870;69.89150;11.6;11.2;0.4;;;
SN91251;Váddjá;20.52680;69.47220;11.7;12.0;-0.3;;;
SN91380;Skibotn;20.28230;69.38750;12.0;12.3;-0.3;53.0;48.0;110.4
