stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN89940;Dividalen;19.70167;68.78167;7.6;6.5;1.1;53.9;53.0;101.7
SN89980;Tamokdalen;19.62780;69.09350;7.8;6.6;1.2;66.7;112.0;59.6
SN89985;Sjufjellet;19.54420;69.10250;3.0;2.5;0.5;;;
SN90100;Pålfinnmoen;18.67730;69.41400;9.1;7.9;1.2;57.2;144.0;39.7
SN90110;Skolten ;18.62080;69.42290;4.6;4.4;0.2;;;
SN90400;Tromsø (Holt);18.90950;69.65380;9.4;8.3;1.1;54.0;101.0;53.5
SN90450;Tromsø (Vervarslinga);18.93680;69.65370;9.0;7.8;1.2;54.4;111.0;49.0
SN90451;Tromsø PLU;18.93650;69.65370;;;;53.3;101.0;52.8
SN90490;Tromsø LH;18.91330;69.67670;9.1;7.9;1.2;;;
SN90495;Stakkevollan ;18.98200;69.69420;8.8;7.7;1.1;54.0;92.0;58.7
SN90510;Tromsdalen ;19.00650;69.65080;8.6;7.2;1.4;63.8;106.0;60.2
SN90560;Kvaløysletta ;18.87720;69.69880;8.9;7.9;1.0;;;
SN90650;Grunnfjord;19.57300;70.00830;;;;45.4;101.0;45.0
SN90720;Måsvik;18.69380;69.99030;10.0;9.3;0.7;;;
SN90760;Fakken;20.11451;70.10426;9.5;8.0;1.5;;;
SN90800;Torsvåg fyr;19.49970;70.24520;9.8;8.9;0.9;;;
SN91080;Ytre Holmebukt;19.71300;69.50000;;;;64.7;79.0;81.9
SN91120;Lyngen;20.15180;69.55980;5.8;5.4;0.4;;;
SN91130;Lyngen;20.09400;69.55880;5.5;4.9;0.6;;;
SN91150;Lyngen - Ura;20.09307;69.58870;9.8;;;52.0;83.0;62.7
SN91180;Straumen ;20.13870;69.89150;9.5;8.3;1.2;79.4;92.0;86.3
SN91251;Váddjá;20.52680;69.47220;9.6;8.4;1.2;;;
SN91380;Skibotn;20.28230;69.38750;9.2;8.1;1.1;41.8;43.0;97.2
